S.no,Instagram_name,Name,Subscribers,Audience_country,Authentic_engagement,Engagement_average,Category_1,Category_2,Engagement_Rate,Subscribers_Scaled,Authentic_Engagement_Scaled,Category_Weight,Influencer_Score
14,billieeilish,BILLIE EILISH,106200000.0,United States,3500000.0,4600000.0,0,0,0.04331450094161959,0.19148154947677623,0.2755905511811024,0.5,0.1798883754559012
54,oliviarodrigo,Olivia Rodrigo,27800000.0,India,2500000.0,3100000.0,Cinema & Actors/actresses,0,0.11151079136690648,0.04754910960161557,0.19685039370078738,0.8,0.17823912816740475
291,mina_sr_my,미나 (MINA),6600000.0,Indonesia,1400000.0,1700000.0,0,0,0.25757575757575757,0.008628602900679273,0.11023622047244094,0.5,0.17766612799499498
525,yooncy1,윤찬영 Yoon chanyoung,4900000.0,South Korea,904700.0,1100000.0,Lifestyle,0,0.22448979591836735,0.005507618872774003,0.07123622047244094,0.7,0.17569544812366733
41,kingjames,👑,131500000.0,United States,618300.0,1100000.0,Sports with a ball,0,0.008365019011406844,0.237929135303837,0.04868503937007874,0.9,0.17446175606972958
941,eunbining0904,박은빈,2900000.0,South Korea,690100.0,814700.0,0,0,0.28093103448275863,0.0018358729575913345,0.054338582677165355,0.5,0.17379089221581395
225,thinkaboutzu,쯔위 (TZUYU),8000000.0,India,1600000.0,1900000.0,0,0,0.2375,0.01119882504130714,0.12598425196850394,0.5,0.17355649790609293
88,songkang_b,송강,14700000.0,Mexico,2200000.0,3000000.0,0,0,0.20408163265306123,0.023499173857169087,0.1732283464566929,0.5,0.17332807450971383
333,chaeyo.0,채영 (CHAEYOUNG),6900000.0,Philippines,1200000.0,1400000.0,Lifestyle,0,0.2028985507246377,0.009179364787956673,0.09448818897637795,0.7,0.17281086752151767
68,jongsuk0206,이종석,23500000.0,Indonesia,2100000.0,2800000.0,Cinema & Actors/actresses,0,0.11914893617021277,0.03965485588397283,0.1653543307086614,0.8,0.17262689737500925
73,bn_sj2013,박서준,22700000.0,Indonesia,2200000.0,2600000.0,Cinema & Actors/actresses,Modeling,0.1145374449339207,0.03818615751789976,0.1732283464566929,0.8,0.1719164945202768
47,harrystyles,0,47300000.0,United States,1700000.0,2300000.0,Fashion,0,0.048625792811839326,0.0833486322746466,0.13385826771653542,1.0,0.17122656035043682
26,jennierubyjane,J,69800000.0,Indonesia,3700000.0,4400000.0,0,0,0.06303724928366762,0.12465577382045165,0.29133858267716534,0.5,0.1708793483950356
174,na.jaemin0813,JAEMIN,10000000.0,Indonesia,1800000.0,2200000.0,0,0,0.22,0.014870570956489812,0.14173228346456693,0.5,0.17080762797986032
486,pablogavi,GAVI,5900000.0,Spain,685100.0,1000000.0,Sports with a ball,0,0.1694915254237288,0.007343491830365338,0.05394488188976378,0.9,0.1707886340965539
99,chrisevans,Chris Evans,17700000.0,United States,1900000.0,2300000.0,Cinema & Actors/actresses,0,0.12994350282485875,0.029006792729943092,0.1496062992125984,0.8,0.17060069879144613
852,priyankaamohanofficial,Priyanka Mohan,3500000.0,India,672300.0,771500.0,Photography,Lifestyle,0.22042857142857142,0.002937396732146136,0.05293700787401575,0.7,0.16964004916587555
48,dlwlrma,이지금 IU,27600000.0,South Korea,3200000.0,3800000.0,0,0,0.13768115942028986,0.0471819350100973,0.25196850393700787,0.5,0.1696207450585467
39,nickiminaj,Barbie,201800000.0,United States,486100.0,765500.0,0,0,0.0037933597621407334,0.36699100422250786,0.0382755905511811,0.5,0.16926976328184487
27,roses_are_rosie,ROSÉ,62700000.0,Indonesia,3700000.0,4300000.0,0,0,0.0685805422647528,0.11162107582155316,0.29133858267716534,0.5,0.16918625618780014
758,juliopfernandez,J U L I O   P E Ñ A   F. D E Z,3400000.0,Brazil,714900.0,909300.0,0,0,0.26744117647058824,0.002753809436387002,0.05629133858267717,0.5,0.16906088113568685
339,dahhyunnee,다현 (DAHYUN),6300000.0,Brazil,1300000.0,1500000.0,0,0,0.23809523809523808,0.008077841013401872,0.10236220472440945,0.5,0.16813388848699767
791,ishowspeed,IShowSpeed,3700000.0,United Kingdom,575100.0,813800.0,Lifestyle,0,0.21994594594594594,0.003304571323664402,0.04528346456692913,0.7,0.16802644268886352
36,jungkook.97,전 정국 이올시다,45800000.0,0,3800000.0,3800000.0,0,0,0.08296943231441048,0.0805948228382596,0.2992125984251968,0.5,0.16720873946228143
159,madelyncline,Maddie,12600000.0,United States,1300000.0,1900000.0,Cinema & Actors/actresses,0,0.15079365079365079,0.019643840646227283,0.10236220472440945,0.8,0.16668305345621043
357,ratantata,Ratan Tata,6800000.0,India,1100000.0,1300000.0,Business & Careers,0,0.19117647058823528,0.00899577749219754,0.08661417322834646,0.7,0.16649215612862267
667,blonded,Frank,3700000.0,United States,529900.0,990100.0,0,0,0.2675945945945946,0.003304571323664402,0.041724409448818896,0.5,0.16637409112470095
699,dear.zia,𝑓𝑟𝑒𝑒𝑧𝑖𝑎 .🌼,3700000.0,South Korea,839700.0,944500.0,0,0,0.25527027027027027,0.003304571323664402,0.06611811023622047,0.5,0.1663231015524515
31,zayn,Zayn Malik,47000000.0,India,3100000.0,4900000.0,0,0,0.10425531914893617,0.0827978703873692,0.24409448818897636,0.5,0.1653603864135805
62,handemiyy,Hande Erçel,28900000.0,Turkey,2100000.0,2700000.0,Cinema & Actors/actresses,0,0.09342560553633218,0.049568569854966035,0.1653543307086614,0.8,0.16531167931275498
253,min9yu_k,김민규,7600000.0,Indonesia,1400000.0,1700000.0,0,0,0.2236842105263158,0.010464475858270608,0.11023622047244094,0.5,0.1646602710624957
243,kevinhart4real,Kevin Hart,152500000.0,United States,68900.0,87300.0,Cinema & Actors/actresses,0,0.0005724590163934426,0.276482467413255,0.005425196850393701,0.8,0.1642587632006126
75,realmadrid,Real Madrid C.F.,124600000.0,Spain,324400.0,450700.0,Sports with a ball,0,0.0036171749598715892,0.22526161189645677,0.025543307086614172,0.9,0.16413401497020852
543,actorsuriya,Suriya Sivakumar,5400000.0,India,733800.0,952300.0,Cinema & Actors/actresses,0,0.17635185185185184,0.00642555535156967,0.05777952755905512,0.8,0.1640243128580227
658,39saku_chan,Sakura Miyawaki,4300000.0,Indonesia,708000.0,873100.0,Lifestyle,Cinema & Actors/actresses,0.203046511627907,0.004406095098219202,0.05574803149606299,0.7,0.16369003947984118
614,iam_linyi,我是林一同学,4000000.0,Indonesia,781000.0,1000000.0,0,0,0.25,0.0038553332109418025,0.06149606299212598,0.5,0.16345581256170777
492,joshu_acoustic,Joshua Hong,5000000.0,India,997200.0,1200000.0,0,0,0.24,0.005691206168533138,0.07851968503937008,0.5,0.16341129885843397
968,tommyinnit,TommyInnit,3500000.0,France,567800.0,640400.0,Shows,Cinema & Actors/actresses,0.18297142857142856,0.002937396732146136,0.04470866141732283,0.8,0.16301152273167985
968,tommyinnit,TommyInnit,3500000.0,France,567800.0,640400.0,Shows,Cinema & Actors/actresses,0.18297142857142856,0.002937396732146136,0.04470866141732283,0.8,0.16301152273167985
447,for_everyoung10,장원영 WONYOUNG,5800000.0,Indonesia,902900.0,1100000.0,Lifestyle,0,0.1896551724137931,0.007159904534606205,0.07109448818897637,0.7,0.16222893796369436
428,barbieferreira,barbie ferreira,6300000.0,United States,609400.0,1100000.0,Cinema & Actors/actresses,0,0.1746031746031746,0.008077841013401872,0.047984251968503935,0.8,0.1618614725389912
540,d_a___m_i,KIM DA MI,4600000.0,Indonesia,900000.0,1100000.0,0,0,0.2391304347826087,0.0049568569854966035,0.07086614173228346,0.5,0.16131245935514915
